class,rsm_base,rsm_scen,donor_model
Collector,3285691.944175206,4086233.9280273034,5403138.471570775
Freeway,38321596.68698384,40622786.09315161,42567195.87342119
Freeway Connector Ramp,1401853.4319685197,1548959.0516602362,1771027.2783332644
Local Collector,2007506.4448749167,2600662.10742722,3893764.2912162906
Local Ramp,1964431.496475176,2187596.7589325155,2585940.9727941514
Local Road,1500697.1699027782,1777612.3138616025,2467076.1549385404
Major Arterial,9024728.178813525,10704670.903060244,13489802.05267342
Prime Arterial,4966134.344241069,5686606.032061278,6660223.622338224
Rural Coolector,735701.2250659319,769817.5154324018,820830.6652606882
Zone Connector,7092712.26721756,5840565.890275694,3955704.437228276
