tripMode,num_trips,share
Bike,55017.00000056,0.011063380415744842
Drive Alone,2843869.0,0.5718742315870299
Micro-Mobility,13280.0,0.002670478068953161
Non-Pooled TNC,40341.83262706,0.008112347838248705
Pooled TNC,4189.00000674,0.0008423669163286003
School Bus,57230.0,0.01150839306371908
Shared Ride 2,827391.50005376,0.16638033549185421
Shared Ride 3+,403373.12289417,0.0811143884257552
Taxi,5773.90917504,0.0011610766433788975
Transit,130080.00004177,0.026157815310314234
Walk,592347.00020198,0.11911518623867327
