tripMode,distance
Bike,0.0
Drive Alone,99145.424229221
Micro-Mobility,0.0
Non-Pooled TNC,348.789609832
Pooled TNC,46.328931375
School Bus,4388.472673788
Shared Ride 2,32052.356194413
Shared Ride 3+,41656.115935408
Taxi,123.501717495
Transit,0.0
Walk,0.0
