tripPurposeDestination,EA,AM,MD,PM,EV,PCT_EA,PCT_AM,PCT_MD,PCT_PM,PCT_EV
Cargo,289.446108,676.40909134,1528.00889224,660.8173656,635.0269464,0.0009909166899115614,0.00028603182743619797,0.00031517453252619186,0.00021914171264391063,0.00041595169229524594
Discretionary,9091.5405628,76291.31466949,221772.8486749,186477.95488425,75173.29273936,0.0311248243859146,0.03226116329866928,0.04574394446464709,0.06184023079745234,0.04923957716692999
Eating Out,11022.29940357,73221.01827077,217544.19971271,268664.25242132,113523.9062449,0.03773476353048686,0.030962832893386142,0.04487172279980991,0.08909503210217086,0.07435977510281758
Escort,28587.59083012,489538.39229601,558523.59829931,314700.0401906,127512.83653457,0.09786941366621733,0.2070101699419984,0.11520378899155168,0.10436152160417073,0.08352272363653741
External,204.0,455.0,1310.0,490.0,857.0,0.0006983925475410384,0.00019240498560663547,0.0002702069599896423,0.0001624948810145437,0.000561347203166536
Goods,3059.5,64383.0,172562.5,30619.5,7940.0,0.010474176466675525,0.027225516897389036,0.03559357903298675,0.010154106141275144,0.005200813060842819
Home,5838.91290837,264253.78118643,1193840.01661266,1163360.75144834,618602.29583359,0.01998947676934695,0.1117444944300529,0.2462472378648022,0.38579625894609826,0.405193312297064
Maintenance,5837.67039208,79605.06720942,403364.14238331,173578.85584697,67137.20956329,0.019985223023674725,0.033662443539876276,0.08319984632230795,0.05756260311733473,0.04397582825759447
Non-Work,12197.60785156617,16483.2508420173,22087.55939600649,13845.93137840394,1318.66004123388,0.041758423634126816,0.006970240969250331,0.004555887235103491,0.004591618309937317,0.0008637411039371151
Other,13202.011311151226,54981.65602946236,117161.83431892308,51141.992178690365,26200.523639639676,0.0451969917267672,0.023249988432917996,0.02416636876192851,0.016959820273312273,0.017161716063722802
Resident Business,563.0,912.0,1676.0,669.0,896.0,0.001927426491498062,0.00038565570741373967,0.000345699896902779,0.00022185525591577495,0.0005868927585031694
Resident Personal,794.0,1813.0,3463.0,1390.0,1852.0,0.002718253346801885,0.0007666598657249013,0.0007142951927054437,0.00046095486655146065,0.0012130863713703905
Return to Establishment,2331.0,41246.0,183718.0,48720.5,23891.5,0.007980161903520395,0.017441617662266564,0.03789456662242527,0.01615679969483485,0.015649272700645617
School,7313.0179724,286171.1561456,27706.5778924,6028.8503104,977.3053912,0.025036064960577625,0.12101265314116133,0.0057148932702455225,0.0019993006404958017,0.0006401489474792268
Service,4675.0,102949.0,396823.0,112883.0,56418.5,0.01600482921448213,0.04353384805102751,0.08185063853738155,0.03743450949707089,0.036954920865637356
Shop,15445.15361525,100007.40663643,566197.62475323,315350.33882776997,187542.81644701,0.052876373433907484,0.04228994205371265,0.11678667094498207,0.10457717507288676,0.12284321527013313
University,425.4051897,37233.0374784,43476.86899902,12239.5558913,1807.30729494,0.001456371638096871,0.01574466382444587,0.008967750077933677,0.004058908526995205,0.0011838120131587478
Visit,1318.7664684,2805.9760508,5797.4101856,1821.4680657,1736.55579934,0.004514787615086148,0.0011865577619049183,0.0011958019710411937,0.0006040392583830867,0.0011374687760818405
Visiting,1892.78425158,19102.00563971,119409.57700208,144851.58580255,76754.50077432,0.006479933408855461,0.00807762883553027,0.02462999908044362,0.048036002448476174,0.050275290945283845
Visitor Business,309.0,869.0,2757.0,1141.0,1214.0,0.001057859299951867,0.000367472379103662,0.0005686722051079724,0.00037838093721958026,0.0007951872866326426
Visitor Personal,395.0,1283.0,3991.0,1511.0,1674.0,0.001352279687640736,0.0005425397726006886,0.0008232030361211163,0.0005010811534958684,0.0010964938367570376
Work,160774.11701437808,613963.9674925483,412953.08349870023,92866.47238738819,31720.86335278135,0.5504090449035908,0.2596257765459265,0.08517770787063565,0.03079658445067153,0.020777617182160653
Work-Based,543.0868263,5146.80502666,86764.08782764,6051.61359118,3528.94302314,0.001859253883115855,0.002176419663900388,0.01789638199097781,0.0020068494498873255,0.0023115079301910145
work related,5989.4261476,24116.3423151,30129.39847502,4054.9610778,1806.95899114,0.020504757772212116,0.010198031859387932,0.006214636006299022,0.0013447151384810548,0.0011835838692101103
Dining,,721.0,5367.0,4793.0,6584.0,,0.0003048879002689762,0.0011070234765377177,0.001589465234087159,0.004312613752215254
Recreation,,6426.0,37506.0,5597.0,6860.0,,0.002717350412106021,0.007736169649901927,0.0018560894878334713,0.004493397682289892
Unknown,,149.0,10705.3293456,51970.1656933,82518.36521414,,6.300734693492019e-05,0.002208133204704185,0.017234461001303884,0.05405070422734219
