OriginSRA,DestinationSRA,flows
1,1.0,81324.0
1,2.0,104.0
1,2.0,3399.0
1,3.0,261.0
1,4.0,1494.0
1,5.0,606.0
1,6.0,1426.0
1,10.0,10511.0
1,11.0,530.0
1,12.0,2536.0
1,13.0,669.0
1,14.0,27.0
1,14.0,87.0
1,14.0,101.0
1,15.0,198.0
1,16.0,19.0
1,17.0,403.0
1,20.0,916.0
1,21.0,10.0
1,21.0,842.0
1,22.0,60.0
1,22.0,2908.0
1,30.0,9.0
1,31.0,260.0
1,32.0,23.0
1,33.0,188.0
1,34.0,261.0
1,35.0,137.0
1,35.0,6.0
1,36.0,57.0
1,37.0,21.0
1,39.0,11.0
1,40.0,8.0
1,41.0,22.0
1,42.0,14.0
1,43.0,0.0
1,43.0,55.0
1,50.0,66.0
1,51.0,42.0
1,55.0,9.0
1,60.0,0.0
1,61.0,1.0
2,1.0,6493.0
2,2.0,7.0
2,2.0,8028.0
2,3.0,44.0
2,4.0,186.0
2,5.0,72.0
2,6.0,338.0
2,10.0,3455.0
2,11.0,914.0
2,12.0,1569.0
2,13.0,269.0
2,14.0,31.0
2,14.0,26.0
2,14.0,24.0
2,15.0,55.0
2,16.0,8.0
2,17.0,118.0
2,20.0,166.0
2,21.0,2.0
2,21.0,118.0
2,22.0,6.0
2,22.0,269.0
2,30.0,2.0
2,31.0,40.0
2,32.0,2.0
2,33.0,3.0
2,33.0,58.0
2,34.0,69.0
2,35.0,27.0
2,35.0,4.0
2,36.0,19.0
2,37.0,4.0
2,39.0,5.0
2,40.0,2.0
2,41.0,51.0
2,42.0,13.0
2,43.0,1.0
2,43.0,56.0
2,50.0,34.0
2,51.0,12.0
2,52.0,6.0
2,55.0,8.0
2,61.0,1.0
3,1.0,3527.0
3,2.0,3.0
3,2.0,294.0
3,3.0,481.0
3,4.0,197.0
3,5.0,32.0
3,6.0,65.0
3,10.0,544.0
3,11.0,37.0
3,12.0,144.0
3,13.0,29.0
3,14.0,1.0
3,14.0,6.0
3,14.0,11.0
3,15.0,15.0
3,16.0,4.0
3,17.0,13.0
3,20.0,112.0
3,21.0,3.0
3,21.0,144.0
3,22.0,9.0
3,22.0,326.0
3,31.0,16.0
3,33.0,23.0
3,34.0,24.0
3,35.0,10.0
3,36.0,8.0
3,37.0,1.0
3,39.0,1.0
3,42.0,2.0
3,43.0,3.0
3,50.0,3.0
3,51.0,1.0
3,55.0,0.0
4,1.0,9598.0
4,2.0,10.0
4,2.0,303.0
4,3.0,91.0
4,4.0,1147.0
4,5.0,251.0
4,6.0,271.0
4,10.0,966.0
4,11.0,72.0
4,12.0,225.0
4,13.0,109.0
4,14.0,2.0
4,14.0,19.0
4,14.0,20.0
4,15.0,38.0
4,17.0,46.0
4,20.0,893.0
4,21.0,19.0
4,21.0,1192.0
4,22.0,32.0
4,22.0,1818.0
4,30.0,0.0
4,31.0,125.0
4,32.0,6.0
4,33.0,41.0
4,34.0,76.0
4,35.0,40.0
4,35.0,2.0
4,36.0,4.0
4,37.0,4.0
4,39.0,2.0
4,40.0,2.0
4,41.0,2.0
4,42.0,1.0
4,43.0,9.0
4,50.0,12.0
4,51.0,3.0
4,52.0,1.0
4,55.0,2.0
4,61.0,0.0
5,1.0,8238.0
5,2.0,14.0
5,2.0,269.0
5,3.0,62.0
5,4.0,510.0
5,5.0,669.0
5,6.0,784.0
5,10.0,1793.0
5,11.0,91.0
5,12.0,493.0
5,13.0,132.0
5,14.0,7.0
5,14.0,34.0
5,14.0,27.0
5,15.0,48.0
5,16.0,6.0
5,17.0,264.0
5,20.0,849.0
5,21.0,11.0
5,21.0,519.0
5,22.0,19.0
5,22.0,610.0
5,30.0,1.0
5,31.0,379.0
5,32.0,27.0
5,33.0,150.0
5,34.0,229.0
5,35.0,127.0
5,35.0,5.0
5,36.0,32.0
5,37.0,11.0
5,39.0,5.0
5,40.0,0.0
5,41.0,7.0
5,42.0,1.0
5,43.0,9.0
5,50.0,20.0
5,51.0,5.0
5,54.0,1.0
5,55.0,2.0
6,1.0,7277.0
6,2.0,7.0
6,2.0,385.0
6,3.0,70.0
6,4.0,238.0
6,5.0,358.0
6,6.0,6990.0
6,10.0,5168.0
6,11.0,150.0
6,12.0,1062.0
6,13.0,356.0
6,14.0,7.0
6,14.0,48.0
6,14.0,58.0
6,15.0,132.0
6,16.0,12.0
6,17.0,529.0
6,20.0,371.0
6,21.0,11.0
6,21.0,272.0
6,22.0,11.0
6,22.0,470.0
6,30.0,8.0
6,31.0,408.0
6,32.0,24.0
6,33.0,321.0
6,34.0,292.0
6,35.0,208.0
6,35.0,7.0
6,36.0,64.0
6,37.0,24.0
6,38.0,3.0
6,39.0,10.0
6,40.0,3.0
6,41.0,7.0
6,42.0,3.0
6,43.0,1.0
6,43.0,24.0
6,50.0,29.0
6,51.0,23.0
6,52.0,3.0
6,55.0,2.0
6,60.0,0.0
10,1.0,10067.0
10,2.0,23.0
10,2.0,1783.0
10,3.0,151.0
10,4.0,326.0
10,5.0,212.0
10,6.0,1853.0
10,10.0,40307.0
10,11.0,1221.0
10,12.0,6362.0
10,13.0,2590.0
10,14.0,174.0
10,14.0,253.0
10,14.0,720.0
10,15.0,694.0
10,16.0,109.0
10,17.0,1353.0
10,20.0,518.0
10,21.0,9.0
10,21.0,318.0
10,22.0,25.0
10,22.0,1326.0
10,30.0,4.0
10,31.0,167.0
10,32.0,17.0
10,33.0,266.0
10,34.0,293.0
10,35.0,417.0
10,35.0,14.0
10,36.0,111.0
10,37.0,38.0
10,38.0,2.0
10,39.0,26.0
10,40.0,18.0
10,41.0,40.0
10,42.0,19.0
10,43.0,2.0
10,43.0,102.0
10,50.0,183.0
10,51.0,78.0
10,52.0,10.0
10,55.0,24.0
10,60.0,2.0
11,1.0,2757.0
11,2.0,2.0
11,2.0,877.0
11,3.0,26.0
11,4.0,70.0
11,5.0,55.0
11,6.0,307.0
11,10.0,3437.0
11,11.0,3471.0
11,12.0,6219.0
11,13.0,600.0
11,14.0,84.0
11,14.0,39.0
11,14.0,72.0
11,15.0,75.0
11,16.0,23.0
11,17.0,122.0
11,20.0,72.0
11,21.0,50.0
11,22.0,2.0
11,22.0,206.0
11,31.0,20.0
11,32.0,2.0
11,33.0,38.0
11,34.0,29.0
11,35.0,38.0
11,35.0,2.0
11,36.0,17.0
11,37.0,4.0
11,39.0,1.0
11,40.0,10.0
11,41.0,19.0
11,42.0,18.0
11,43.0,2.0
11,43.0,42.0
11,50.0,22.0
11,51.0,24.0
11,52.0,3.0
11,55.0,3.0
11,60.0,0.0
11,61.0,4.0
12,1.0,2264.0
12,2.0,0.0
12,2.0,311.0
12,3.0,26.0
12,4.0,37.0
12,5.0,24.0
12,6.0,239.0
12,10.0,3287.0
12,11.0,595.0
12,12.0,26889.0
12,13.0,1553.0
12,14.0,40.0
12,14.0,92.0
12,14.0,54.0
12,15.0,159.0
12,16.0,14.0
12,17.0,139.0
12,20.0,65.0
12,21.0,44.0
12,22.0,6.0
12,22.0,102.0
12,31.0,23.0
12,32.0,4.0
12,33.0,32.0
12,34.0,44.0
12,35.0,71.0
12,35.0,6.0
12,36.0,23.0
12,37.0,4.0
12,38.0,1.0
12,39.0,12.0
12,40.0,30.0
12,41.0,49.0
12,42.0,28.0
12,43.0,95.0
12,44.0,1.0
12,50.0,57.0
12,51.0,56.0
12,52.0,4.0
12,55.0,6.0
13,1.0,3596.0
13,2.0,4.0
13,2.0,308.0
13,3.0,37.0
13,4.0,69.0
13,5.0,40.0
13,6.0,440.0
13,10.0,4788.0
13,11.0,381.0
13,12.0,7401.0
