tripMode,num_trips,share
Bike,112773.0000022,0.009360928348020327
Drive Alone,7356419.935080853,0.6106330407889905
Micro-Mobility,13448.0,0.001116275743499965
Non-Pooled TNC,73271.33184271,0.006082020406748496
Pooled TNC,7641.00001583,0.0006342551289228046
School Bus,142216.0,0.011804898210707244
Shared Ride 2,1809887.9081047084,0.1502330435954179
Shared Ride 3+,938862.1054340936,0.07793195975515953
Taxi,8717.00014306,0.0007235704800552947
Transit,240168.00009406,0.019935582456119608
Truck,371452.2835850949,0.030833073619401522
Walk,972346.00039275,0.08071135146695674
