tripMode,distance
Bike,0.0
Drive Alone,108262.100963253
Micro-Mobility,0.0
Non-Pooled TNC,439.46724910800003
Pooled TNC,69.997194143
School Bus,4527.117219616
Shared Ride 2,37735.404116822
Shared Ride 3+,45919.14843994
Taxi,194.562343992
Transit,0.0
Walk,0.0
