mgra,sampled_households,sample_rate
440,1503,1.0
441,1136,1.0
442,2290,1.0
443,1476,1.0
444,1621,1.0
445,5,1.0
446,1087,1.0
447,641,1.0
448,776,1.0
449,1929,1.0
450,1,1.0
451,1921,1.0
452,2268,1.0
453,1670,1.0
454,93,1.0
455,905,1.0
457,1139,1.0
458,1360,1.0
459,1216,1.0
460,991,1.0
461,962,1.0
462,1098,1.0
463,586,1.0
464,2322,1.0
465,81,1.0
466,2308,1.0
467,2156,1.0
468,1090,1.0
469,292,1.0
472,31,1.0
473,2357,1.0
474,1731,1.0
475,285,1.0
476,446,1.0
477,3019,1.0
478,1580,1.0
479,1572,1.0
480,296,1.0
481,386,1.0
482,388,1.0
483,1161,1.0
484,500,1.0
485,510,1.0
486,744,1.0
487,332,1.0
488,115,1.0
489,343,1.0
490,764,1.0
491,2563,1.0
492,1373,1.0
493,1134,1.0
494,1554,1.0
495,1146,1.0
496,676,1.0
497,1422,1.0
498,890,1.0
499,2471,1.0
500,1483,1.0
501,320,1.0
502,1963,1.0
503,1391,1.0
504,999,1.0
505,535,1.0
506,2530,1.0
507,1494,1.0
510,3234,1.0
511,133,1.0
512,181,1.0
513,443,1.0
514,2356,1.0
515,208,1.0
516,150,1.0
517,6,1.0
518,1527,1.0
519,2408,1.0
520,2300,1.0
521,474,1.0
522,919,1.0
523,6,1.0
524,3479,1.0
525,2510,1.0
526,674,1.0
527,1757,1.0
528,476,1.0
529,145,1.0
530,1707,1.0
531,278,1.0
533,1540,1.0
534,2221,1.0
535,69,1.0
536,1788,1.0
537,121,1.0
538,1214,1.0
539,222,1.0
540,530,1.0
542,2,1.0
543,5456,1.0
544,1409,1.0
545,251,1.0
546,899,1.0
547,413,1.0
548,2656,1.0
549,4603,1.0
551,327,1.0
552,497,1.0
555,1095,1.0
556,1678,1.0
557,2,1.0
558,4,1.0
560,4947,1.0
561,283,1.0
562,1423,1.0
563,329,1.0
564,234,1.0
565,1230,1.0
566,475,1.0
567,1263,1.0
568,718,1.0
569,46,1.0
570,1106,1.0
571,3140,1.0
573,1080,1.0
574,1,1.0
575,249,1.0
576,3316,1.0
577,6377,1.0
578,258,1.0
579,655,1.0
580,3765,1.0
581,2188,1.0
582,2249,1.0
583,2288,1.0
584,243,1.0
585,815,1.0
586,216,1.0
587,2104,1.0
588,29,1.0
589,18,1.0
590,629,1.0
591,30,1.0
592,2327,1.0
593,2762,1.0
595,2839,1.0
596,1543,1.0
597,4661,1.0
598,1331,1.0
599,999,1.0
600,2172,1.0
601,608,1.0
602,2977,1.0
603,17,1.0
604,1051,1.0
605,1332,1.0
606,938,1.0
607,272,1.0
608,2271,1.0
609,1607,1.0
610,973,1.0
611,2343,1.0
612,3027,1.0
613,3576,1.0
614,5570,1.0
615,459,1.0
616,3102,1.0
617,1190,1.0
619,2143,1.0
620,442,1.0
621,534,1.0
622,4206,1.0
623,156,1.0
624,1108,1.0
626,192,1.0
627,219,1.0
628,689,1.0
629,1093,1.0
630,692,1.0
631,1169,1.0
632,2136,1.0
633,4955,1.0
634,2965,1.0
635,295,1.0
636,463,1.0
637,24,1.0
638,1407,1.0
639,124,1.0
640,2774,1.0
641,1,1.0
642,1203,1.0
643,2317,1.0
644,1532,1.0
645,1271,1.0
646,554,1.0
647,1600,1.0
648,572,1.0
649,3230,1.0
650,2405,1.0
651,3406,1.0
652,2764,1.0
654,5678,1.0
655,151,1.0
656,578,1.0
657,3627,1.0
658,1137,1.0
659,75,1.0
660,1650,1.0
661,1246,1.0
662,3632,1.0
663,712,1.0
664,2743,1.0
665,3988,1.0
666,187,1.0
667,1672,1.0
668,3004,1.0
669,3199,1.0
670,3154,1.0
671,2630,1.0
672,1701,1.0
673,657,1.0
674,2479,1.0
675,428,1.0
676,802,1.0
677,8995,1.0
678,1621,1.0
679,268,1.0
680,1800,1.0
681,1506,1.0
682,258,1.0
683,226,1.0
684,3288,1.0
685,3066,1.0
686,2056,1.0
687,1858,1.0
688,2015,1.0
689,851,1.0
690,4718,1.0
691,6096,1.0
692,347,1.0
693,201,1.0
694,529,1.0
695,307,1.0
696,4192,1.0
697,1101,1.0
698,526,1.0
699,3088,1.0
700,1896,1.0
701,2768,1.0
702,1607,1.0
703,2387,1.0
705,4544,1.0
706,4302,1.0
707,1676,1.0
708,2283,1.0
709,2131,1.0
710,1936,1.0
711,940,1.0
712,319,1.0
713,1038,1.0
715,531,1.0
716,2196,1.0
717,1561,1.0
718,5638,1.0
719,1062,1.0
720,2438,1.0
721,1177,1.0
722,190,1.0
723,977,1.0
724,4989,1.0
725,223,1.0
726,3418,1.0
727,687,1.0
728,964,1.0
729,1056,1.0
730,2332,1.0
731,1001,1.0
732,9779,1.0
733,2443,1.0
735,251,1.0
736,3836,1.0
737,3887,1.0
738,1037,1.0
739,160,1.0
740,950,1.0
741,3090,1.0
742,1026,1.0
743,4870,1.0
744,2002,1.0
745,3215,1.0
746,112,1.0
747,373,1.0
748,1924,1.0
749,3747,1.0
750,2602,1.0
751,4586,1.0
752,1793,1.0
753,29,1.0
754,805,1.0
755,311,1.0
756,139,1.0
757,154,1.0
758,999,1.0
759,3001,1.0
760,2052,1.0
761,965,1.0
762,1551,1.0
763,4,1.0
764,1453,1.0
765,5207,1.0
766,1158,1.0
768,1499,1.0
770,1352,1.0
771,929,1.0
772,1912,1.0
773,475,1.0
774,3399,1.0
775,171,1.0
776,2520,1.0
778,5444,1.0
779,607,1.0
780,827,1.0
781,1418,1.0
782,2956,1.0
783,2124,1.0
784,1238,1.0
785,3483,1.0
786,1088,1.0
787,3070,1.0
788,2022,1.0
792,2,1.0
793,3565,1.0
794,174,1.0
795,2782,1.0
796,1353,1.0
797,1614,1.0
798,1893,1.0
799,5144,1.0
800,1903,1.0
802,1120,1.0
803,2193,1.0
804,643,1.0
805,676,1.0
806,3293,1.0
807,236,1.0
808,996,1.0
809,1505,1.0
810,859,1.0
811,1119,1.0
812,608,1.0
813,3463,1.0
814,764,1.0
815,514,1.0
816,293,1.0
817,944,1.0
818,47,1.0
819,919,1.0
820,806,1.0
821,2934,1.0
822,9,1.0
823,2687,1.0
824,2778,1.0
825,922,1.0
826,2553,1.0
827,899,1.0
828,1627,1.0
830,220,1.0
831,255,1.0
832,3054,1.0
833,2329,1.0
834,460,1.0
835,1181,1.0
836,1210,1.0
838,1424,1.0
839,4085,1.0
840,1593,1.0
841,526,1.0
842,343,1.0
843,2205,1.0
844,363,1.0
845,392,1.0
846,2328,1.0
847,2055,1.0
848,44,1.0
849,1070,1.0
850,2,1.0
851,932,1.0
852,2069,1.0
853,2140,1.0
854,2,1.0
855,3873,1.0
856,1263,1.0
857,306,1.0
858,2310,1.0
859,1,1.0
860,429,1.0
861,1752,1.0
862,452,1.0
863,2564,1.0
864,533,1.0
866,1492,1.0
867,218,1.0
868,1952,1.0
869,2791,1.0
870,561,1.0
871,1406,1.0
872,2095,1.0
873,5371,1.0
874,1804,1.0
875,448,1.0
876,1704,1.0
877,8385,1.0
878,3255,1.0
879,1758,1.0
880,4090,1.0
881,2367,1.0
882,951,1.0
883,1200,1.0
884,2340,1.0
886,2027,1.0
887,2421,1.0
888,3818,1.0
889,1397,1.0
890,1324,1.0
891,1906,1.0
892,1695,1.0
893,1021,1.0
894,1,1.0
895,957,1.0
896,1044,1.0
897,154,1.0
898,50,1.0
899,2089,1.0
901,3776,1.0
902,236,1.0
903,2742,1.0
904,433,1.0
905,3051,1.0
906,633,1.0
907,1378,1.0
908,4376,1.0
909,743,1.0
910,5102,1.0
911,47,1.0
912,1004,1.0
914,1405,1.0
915,2181,1.0
916,1070,1.0
917,1939,1.0
918,2102,1.0
919,669,1.0
920,963,1.0
921,1489,1.0
922,2528,1.0
923,5000,1.0
924,2011,1.0
925,10147,1.0
926,4731,1.0
927,2588,1.0
929,527,1.0
930,1782,1.0
931,1663,1.0
932,1427,1.0
933,2375,1.0
934,1792,1.0
935,331,1.0
936,642,1.0
937,164,1.0
938,867,1.0
939,1782,1.0
940,1825,1.0
941,1887,1.0
942,728,1.0
943,66,1.0
944,137,1.0
945,3423,1.0
946,664,1.0
947,117,1.0
948,1356,1.0
949,4123,1.0
950,4122,1.0
951,2679,1.0
952,2517,1.0
953,5042,1.0
954,1329,1.0
955,1090,1.0
956,6855,1.0
957,7,1.0
958,2865,1.0
959,178,1.0
960,5689,1.0
961,4365,1.0
962,759,1.0
963,1229,1.0
964,1484,1.0
965,40,1.0
966,4780,1.0
967,4170,1.0
968,1169,1.0
969,598,1.0
970,3355,1.0
971,1835,1.0
972,3262,1.0
973,2522,1.0
974,5558,1.0
975,1373,1.0
976,2145,1.0
978,2635,1.0
979,2582,1.0
980,1676,1.0
981,2,1.0
982,3029,1.0
983,4705,1.0
984,1878,1.0
985,2091,1.0
986,1080,1.0
987,863,1.0
988,4630,1.0
989,3091,1.0
990,2307,1.0
991,3599,1.0
992,9,1.0
993,2013,1.0
994,226,1.0
996,1958,1.0
997,1912,1.0
998,2909,1.0
999,2705,1.0
1000,951,1.0
