mgra,sampled_households,sample_rate
1,300,1.0
2,144,1.0
4,13,1.0
6,126,1.0
8,4,1.0
9,5692,1.0
10,264,1.0
11,187,1.0
13,54,1.0
14,19,1.0
15,19,1.0
16,5319,1.0
17,92,1.0
18,1,1.0
19,95,1.0
20,19,1.0
21,35,1.0
24,1,1.0
25,31,1.0
26,332,1.0
27,37,1.0
28,477,1.0
29,519,1.0
30,84,1.0
32,1,1.0
33,140,1.0
36,487,1.0
37,3,1.0
38,142,1.0
39,214,1.0
40,1,1.0
41,71,1.0
42,118,1.0
43,71,1.0
45,329,1.0
46,424,1.0
47,2,1.0
48,328,1.0
50,27,1.0
51,283,1.0
53,36,1.0
54,796,1.0
56,402,1.0
57,7,1.0
61,37,1.0
62,1,1.0
63,1,1.0
66,4656,1.0
69,1774,1.0
70,87,1.0
71,240,1.0
72,12,1.0
74,1,1.0
76,35,1.0
81,1,1.0
83,1321,1.0
84,599,1.0
85,28,1.0
86,100,1.0
88,1006,1.0
90,107,1.0
91,5,1.0
92,1677,1.0
93,584,1.0
94,174,1.0
95,1214,1.0
98,900,1.0
99,2,1.0
101,546,1.0
103,3783,1.0
104,493,1.0
105,468,1.0
106,156,1.0
109,417,1.0
110,147,1.0
111,222,1.0
114,693,1.0
119,134,1.0
121,1,1.0
126,192,1.0
127,25,1.0
128,190,1.0
131,5377,1.0
132,349,1.0
134,99,1.0
137,23,1.0
138,95,1.0
139,152,1.0
140,97,1.0
141,45,1.0
143,18,1.0
144,157,1.0
149,1,1.0
152,89,1.0
153,2924,1.0
155,1815,1.0
157,30,1.0
159,103,1.0
160,197,1.0
161,8,1.0
162,402,1.0
163,434,1.0
164,230,1.0
165,596,1.0
167,371,1.0
169,2273,1.0
170,175,1.0
172,178,1.0
174,651,1.0
175,662,1.0
176,549,1.0
177,2029,1.0
178,3,1.0
179,977,1.0
180,613,1.0
182,431,1.0
183,1631,1.0
184,941,1.0
185,51,1.0
187,1004,1.0
189,172,1.0
190,1075,1.0
191,212,1.0
192,2,1.0
195,129,1.0
196,224,1.0
197,292,1.0
198,1558,1.0
199,834,1.0
200,1845,1.0
203,793,1.0
204,1480,1.0
205,239,1.0
206,132,1.0
207,356,1.0
208,415,1.0
209,168,1.0
210,642,1.0
211,411,1.0
212,297,1.0
213,1,1.0
214,380,1.0
218,801,1.0
219,283,1.0
220,654,1.0
221,1439,1.0
223,443,1.0
224,540,1.0
225,277,1.0
226,183,1.0
227,894,1.0
228,789,1.0
229,3338,1.0
230,199,1.0
231,985,1.0
233,68,1.0
234,404,1.0
235,759,1.0
236,462,1.0
237,13,1.0
238,644,1.0
239,396,1.0
240,1515,1.0
241,1982,1.0
242,395,1.0
243,283,1.0
244,1457,1.0
245,921,1.0
246,433,1.0
247,1372,1.0
248,3398,1.0
249,448,1.0
250,55,1.0
251,1479,1.0
252,873,1.0
253,621,1.0
254,1161,1.0
255,1393,1.0
256,206,1.0
257,259,1.0
258,1289,1.0
259,441,1.0
262,1682,1.0
263,267,1.0
264,904,1.0
265,3377,1.0
266,1418,1.0
267,2004,1.0
268,535,1.0
269,4230,1.0
270,1303,1.0
272,732,1.0
273,686,1.0
274,2,1.0
275,969,1.0
276,28,1.0
277,642,1.0
278,26,1.0
279,743,1.0
280,1845,1.0
281,317,1.0
282,1602,1.0
283,24,1.0
284,1459,1.0
285,690,1.0
286,1454,1.0
287,791,1.0
288,647,1.0
289,494,1.0
290,636,1.0
291,2990,1.0
292,815,1.0
293,419,1.0
294,619,1.0
295,1160,1.0
296,3,1.0
297,1984,1.0
298,916,1.0
299,953,1.0
300,1410,1.0
301,411,1.0
302,818,1.0
303,1559,1.0
304,414,1.0
305,1778,1.0
306,122,1.0
307,627,1.0
308,700,1.0
309,236,1.0
310,620,1.0
311,550,1.0
312,87,1.0
313,4295,1.0
314,21,1.0
315,137,1.0
316,880,1.0
317,932,1.0
318,232,1.0
320,779,1.0
321,97,1.0
322,671,1.0
323,1229,1.0
324,771,1.0
325,1003,1.0
326,355,1.0
327,564,1.0
328,1829,1.0
329,189,1.0
330,610,1.0
331,2036,1.0
332,561,1.0
333,153,1.0
334,3,1.0
335,474,1.0
336,1533,1.0
337,847,1.0
338,191,1.0
339,344,1.0
340,982,1.0
341,500,1.0
342,1513,1.0
343,2378,1.0
344,1339,1.0
346,49,1.0
347,890,1.0
348,2572,1.0
349,1250,1.0
351,1083,1.0
353,1506,1.0
354,103,1.0
355,1051,1.0
357,1469,1.0
358,267,1.0
359,397,1.0
360,991,1.0
361,139,1.0
362,2064,1.0
363,965,1.0
364,253,1.0
365,490,1.0
366,610,1.0
367,1408,1.0
368,2614,1.0
369,426,1.0
370,298,1.0
371,12,1.0
372,651,1.0
373,2182,1.0
375,2939,1.0
376,1963,1.0
377,1313,1.0
378,987,1.0
379,2868,1.0
380,850,1.0
381,1069,1.0
382,2599,1.0
383,921,1.0
384,1825,1.0
385,1635,1.0
386,66,1.0
387,1176,1.0
388,1617,1.0
389,185,1.0
390,961,1.0
391,895,1.0
392,52,1.0
393,1268,1.0
394,1852,1.0
395,393,1.0
397,2552,1.0
398,301,1.0
399,2766,1.0
400,525,1.0
401,2741,1.0
402,1608,1.0
403,511,1.0
404,795,1.0
405,2,1.0
406,1261,1.0
407,142,1.0
408,2,1.0
409,1104,1.0
410,1417,1.0
411,11368,1.0
412,2446,1.0
413,3098,1.0
414,29,1.0
415,1279,1.0
416,201,1.0
417,969,1.0
418,1006,1.0
419,331,1.0
420,3,1.0
421,80,1.0
422,443,1.0
423,2074,1.0
424,1620,1.0
425,579,1.0
427,1773,1.0
428,1694,1.0
429,564,1.0
430,1606,1.0
431,2219,1.0
432,7693,1.0
434,370,1.0
435,519,1.0
436,420,1.0
437,2562,1.0
438,1713,1.0
439,630,1.0
