OriginSRA,DestinationSRA,flows
1.0,1.0,456735.0
1.0,1.0,145.0
1.0,1.0,3943.0
1.0,1.0,18187.0
1.0,2.0,219.0
1.0,2.0,1021.0
1.0,2.0,1022.0
1.0,2.0,4646.0
1.0,2.0,555.0
1.0,2.0,17676.0
1.0,3.0,4324.0
1.0,3.0,9973.0
1.0,3.0,3053.0
1.0,4.0,4471.0
1.0,4.0,9885.0
1.0,4.0,1594.0
1.0,5.0,866.0
1.0,5.0,2829.0
1.0,5.0,8432.0
1.0,5.0,439.0
1.0,5.0,8568.0
1.0,5.0,2825.0
1.0,6.0,32649.0
1.0,8.0,139.0
1.0,9.0,1199.0
1.0,10.0,50967.0
1.0,10.0,905.0
1.0,11.0,901.0
1.0,11.0,9968.0
1.0,11.0,431.0
1.0,12.0,274.0
1.0,12.0,6418.0
1.0,12.0,385.0
1.0,13.0,293.0
1.0,13.0,75.0
1.0,13.0,1499.0
1.0,13.0,155.0
1.0,13.0,7651.0
1.0,13.0,216.0
1.0,13.0,108.0
1.0,13.0,193.0
1.0,14.0,687.0
1.0,14.0,102.0
1.0,14.0,247.0
1.0,14.0,332.0
1.0,14.0,2583.0
1.0,14.0,67.0
1.0,14.0,159.0
1.0,14.0,90.0
1.0,14.0,76.0
1.0,14.0,297.0
1.0,14.0,365.0
1.0,15.0,98.0
1.0,15.0,102.0
1.0,15.0,185.0
1.0,15.0,2174.0
1.0,16.0,282.0
1.0,16.0,220.0
1.0,16.0,114.0
1.0,17.0,7160.0
1.0,18.0,797.0
1.0,19.0,91.0
1.0,20.0,930.0
1.0,20.0,5831.0
1.0,20.0,47.0
1.0,20.0,2130.0
1.0,20.0,367.0
1.0,21.0,415.0
1.0,21.0,663.0
1.0,21.0,1032.0
1.0,21.0,110.0
1.0,21.0,2.0
1.0,21.0,784.0
1.0,21.0,10472.0
1.0,21.0,662.0
1.0,21.0,148.0
1.0,22.0,404.0
1.0,22.0,1778.0
1.0,22.0,19760.0
1.0,22.0,940.0
1.0,22.0,1067.0
1.0,23.0,589.0
1.0,23.0,563.0
1.0,23.0,1809.0
1.0,24.0,144.0
1.0,26.0,709.0
1.0,26.0,665.0
1.0,27.0,113.0
1.0,27.0,27.0
1.0,28.0,4.0
1.0,29.0,16.0
1.0,30.0,561.0
1.0,31.0,413.0
1.0,31.0,538.0
1.0,31.0,1725.0
1.0,31.0,1171.0
1.0,31.0,25.0
1.0,32.0,509.0
1.0,32.0,1354.0
1.0,33.0,174.0
1.0,33.0,104.0
1.0,33.0,3471.0
1.0,33.0,25.0
1.0,33.0,203.0
1.0,34.0,141.0
1.0,34.0,409.0
1.0,34.0,152.0
1.0,34.0,4236.0
1.0,34.0,382.0
1.0,34.0,107.0
1.0,34.0,409.0
1.0,34.0,118.0
1.0,35.0,105.0
1.0,35.0,151.0
1.0,35.0,1462.0
1.0,35.0,89.0
1.0,35.0,4.0
1.0,35.0,281.0
1.0,36.0,123.0
1.0,36.0,1026.0
1.0,36.0,208.0
1.0,36.0,176.0
1.0,36.0,15.0
1.0,37.0,144.0
1.0,37.0,79.0
1.0,37.0,128.0
1.0,37.0,196.0
1.0,37.0,209.0
1.0,38.0,66.0
1.0,38.0,276.0
1.0,38.0,6.0
1.0,38.0,9.0
1.0,39.0,334.0
1.0,40.0,1636.0
1.0,40.0,74.0
1.0,41.0,83.0
1.0,41.0,197.0
1.0,41.0,102.0
1.0,41.0,1128.0
1.0,41.0,70.0
1.0,41.0,26.0
1.0,42.0,9.0
1.0,42.0,45.0
1.0,42.0,48.0
1.0,42.0,889.0
1.0,43.0,14.0
1.0,43.0,709.0
1.0,44.0,10.0
1.0,44.0,32.0
1.0,45.0,21.0
1.0,45.0,5.0
1.0,46.0,52.0
1.0,46.0,63.0
1.0,46.0,28.0
1.0,47.0,8.0
1.0,48.0,6.0
1.0,48.0,12.0
1.0,49.0,46.0
1.0,50.0,16.0
1.0,50.0,1845.0
1.0,50.0,67.0
1.0,50.0,24.0
1.0,50.0,75.0
1.0,50.0,2.0
1.0,50.0,2.0
1.0,50.0,40.0
1.0,50.0,8.0
1.0,51.0,21.0
1.0,51.0,0.0
1.0,51.0,20.0
1.0,51.0,64.0
1.0,51.0,21.0
1.0,51.0,30.0
1.0,51.0,439.0
1.0,51.0,44.0
1.0,51.0,39.0
1.0,51.0,13.0
1.0,52.0,55.0
1.0,52.0,22.0
1.0,52.0,10.0
1.0,52.0,304.0
1.0,52.0,19.0
1.0,52.0,5.0
1.0,52.0,5.0
1.0,53.0,15.0
1.0,53.0,11.0
1.0,53.0,43.0
1.0,53.0,37.0
1.0,53.0,32.0
1.0,53.0,40.0
1.0,53.0,9.0
1.0,53.0,15.0
1.0,53.0,8.0
1.0,54.0,3.0
1.0,54.0,12.0
1.0,54.0,34.0
1.0,54.0,16.0
1.0,55.0,45.0
1.0,55.0,571.0
1.0,55.0,177.0
1.0,56.0,10.0
1.0,57.0,1.0
1.0,60.0,54.0
1.0,60.0,5.0
1.0,60.0,4.0
1.0,60.0,9.0
1.0,61.0,3.0
1.0,61.0,132.0
1.0,61.0,2.0
1.0,61.0,21.0
1.0,62.0,2.0
1.0,62.0,474.0
1.0,63.0,2.0
1.0,63.0,2.0
1.0,63.0,48.0
1.0,1.0,164.0
1.0,1.0,2.0
1.0,1.0,14.0
1.0,1.0,10.0
1.0,2.0,3.0
1.0,2.0,2.0
1.0,2.0,5.0
1.0,2.0,3.0
1.0,2.0,66.0
1.0,3.0,1.0
1.0,3.0,6.0
1.0,3.0,12.0
1.0,4.0,1.0
1.0,4.0,10.0
1.0,4.0,2.0
1.0,5.0,6.0
1.0,5.0,2.0
1.0,5.0,9.0
1.0,5.0,0.0
1.0,5.0,9.0
1.0,5.0,1.0
1.0,6.0,27.0
1.0,9.0,4.0
1.0,10.0,49.0
1.0,10.0,2.0
1.0,11.0,2.0
1.0,11.0,22.0
1.0,12.0,13.0
1.0,13.0,1.0
1.0,13.0,1.0
1.0,13.0,2.0
1.0,13.0,6.0
1.0,14.0,4.0
1.0,14.0,1.0
1.0,15.0,2.0
1.0,17.0,9.0
1.0,18.0,0.0
1.0,20.0,6.0
1.0,20.0,2.0
1.0,20.0,1.0
1.0,21.0,4.0
1.0,21.0,2.0
1.0,21.0,1.0
1.0,21.0,4.0
1.0,21.0,15.0
1.0,21.0,1.0
1.0,22.0,1.0
1.0,22.0,4.0
1.0,22.0,17.0
1.0,22.0,1.0
1.0,22.0,4.0
1.0,23.0,2.0
1.0,23.0,5.0
1.0,26.0,1.0
1.0,26.0,2.0
1.0,30.0,2.0
1.0,31.0,4.0
1.0,31.0,3.0
1.0,31.0,4.0
1.0,32.0,2.0
1.0,32.0,2.0
1.0,33.0,6.0
1.0,34.0,6.0
1.0,35.0,0.0
1.0,35.0,1.0
1.0,36.0,2.0
1.0,36.0,1.0
1.0,37.0,1.0
1.0,37.0,1.0
1.0,37.0,1.0
1.0,37.0,1.0
1.0,39.0,1.0
1.0,40.0,4.0
1.0,41.0,1.0
1.0,41.0,2.0
1.0,42.0,3.0
1.0,50.0,4.0
1.0,51.0,1.0
1.0,52.0,0.0
1.0,62.0,2.0
1.0,1.0,3935.0
1.0,1.0,14.0
1.0,1.0,1133.0
1.0,1.0,123.0
1.0,2.0,11.0
1.0,2.0,49.0
1.0,2.0,8.0
1.0,2.0,111.0
1.0,2.0,16.0
1.0,2.0,1545.0
1.0,3.0,14.0
1.0,3.0,94.0
1.0,3.0,233.0
1.0,4.0,20.0
1.0,4.0,88.0
1.0,4.0,12.0
1.0,5.0,21.0
1.0,5.0,24.0
1.0,5.0,43.0
1.0,5.0,4.0
1.0,5.0,77.0
1.0,5.0,32.0
1.0,6.0,221.0
1.0,8.0,2.0
1.0,9.0,16.0
1.0,10.0,970.0
1.0,10.0,47.0
1.0,11.0,36.0
1.0,11.0,367.0
1.0,11.0,4.0
1.0,12.0,5.0
1.0,12.0,192.0
1.0,12.0,10.0
1.0,13.0,10.0
1.0,13.0,3.0
1.0,13.0,30.0
1.0,13.0,8.0
1.0,13.0,145.0
1.0,13.0,4.0
1.0,13.0,1.0
1.0,13.0,4.0
1.0,14.0,7.0
1.0,14.0,1.0
1.0,14.0,7.0
1.0,14.0,2.0
1.0,14.0,33.0
1.0,14.0,1.0
1.0,14.0,2.0
1.0,14.0,3.0
1.0,14.0,2.0
1.0,14.0,6.0
1.0,15.0,1.0
1.0,15.0,1.0
1.0,15.0,33.0
1.0,16.0,1.0
1.0,16.0,4.0
1.0,17.0,91.0
1.0,18.0,13.0
1.0,19.0,2.0
1.0,20.0,18.0
1.0,20.0,82.0
1.0,20.0,1.0
1.0,20.0,26.0
1.0,20.0,4.0
1.0,21.0,6.0
1.0,21.0,6.0
1.0,21.0,13.0
1.0,21.0,3.0
1.0,21.0,5.0
1.0,21.0,119.0
1.0,21.0,2.0
1.0,21.0,4.0
1.0,22.0,8.0
1.0,22.0,21.0
1.0,22.0,151.0
1.0,22.0,14.0
1.0,22.0,19.0
1.0,23.0,8.0
1.0,23.0,6.0
1.0,23.0,28.0
1.0,24.0,0.0
1.0,26.0,10.0
1.0,26.0,11.0
1.0,27.0,1.0
1.0,27.0,1.0
1.0,30.0,9.0
1.0,31.0,7.0
1.0,31.0,7.0
1.0,31.0,28.0
1.0,31.0,16.0
1.0,32.0,7.0
1.0,32.0,18.0
1.0,33.0,2.0
1.0,33.0,1.0
1.0,33.0,42.0
1.0,33.0,4.0
1.0,34.0,7.0
1.0,34.0,47.0
1.0,34.0,7.0
1.0,34.0,1.0
1.0,34.0,6.0
1.0,34.0,2.0
1.0,35.0,1.0
1.0,35.0,6.0
1.0,35.0,16.0
1.0,35.0,4.0
1.0,36.0,2.0
1.0,36.0,8.0
1.0,36.0,4.0
1.0,36.0,5.0
1.0,36.0,1.0
1.0,37.0,4.0
1.0,37.0,4.0
1.0,37.0,0.0
1.0,37.0,1.0
1.0,37.0,11.0
1.0,38.0,1.0
1.0,38.0,2.0
1.0,39.0,7.0
1.0,40.0,44.0
1.0,40.0,3.0
1.0,41.0,5.0
1.0,41.0,6.0
1.0,41.0,2.0
1.0,41.0,28.0
1.0,41.0,1.0
1.0,42.0,1.0
1.0,42.0,1.0
1.0,42.0,26.0
1.0,43.0,19.0
1.0,44.0,1.0
1.0,46.0,2.0
1.0,46.0,2.0
1.0,46.0,1.0
1.0,48.0,1.0
1.0,49.0,1.0
1.0,50.0,25.0
1.0,50.0,3.0
1.0,50.0,0.0
1.0,51.0,1.0
