class,vmt_total,vmt_auto,vmt_truck
Collector,3285691.944175206,3106295.0278216475,161320.97424042682
Freeway,38321596.68698384,36036939.71969269,2275496.0557767376
Freeway Connector Ramp,1401853.4319685195,1316147.966128622,85502.12433799339
Local Collector,2007506.4448749172,1911845.3981321796,86309.93160970605
Local Ramp,1964431.496475176,1864334.907280783,98108.74928681432
Local Road,1500697.1699027782,1441768.7033405798,55511.292051051954
Major Arterial,9024728.178813523,8593967.494456781,378844.1418622826
Prime Arterial,4966134.344241069,4705669.577960124,247266.23336072106
Rural Coolector,735701.2250659319,714207.1988403304,21442.765059195786
Zone Connector,7092712.26721756,6790394.941614921,302317.3256026387
