tripMode,distance
Bike,0.0
Drive Alone,275130.24387803103
Micro-Mobility,0.0
Non-Pooled TNC,1776.437999995
Pooled TNC,208.766135085
School Bus,3285.8259272200003
Shared Ride 2,295254.379850605
Shared Ride 3+,171615.772395981
Taxi,522.774613467
Transit,0.0
Walk,0.0
