MODE,EA,AM,MD,PM,EV,PCT_EA,PCT_AM,PCT_MD,PCT_PM,PCT_EV
Local Bus,3440.467353,16623.351722,29876.843517,25395.434183,14284.405346,0.19184400477423738,0.22088030180644852,0.2783734494170165,0.24084609368134788,0.2635404526950861
Local Bus and Premium Transit,6851.629189,25162.126526,33712.020198,34277.895584,17415.845357,0.38205390372318415,0.334337995977038,0.3141071895360556,0.32508588715328934,0.32131402450971813
Premium Transit,7641.574917,33474.06996,43737.620113,45769.253066,22501.695146,0.42610209150257866,0.4447817022165136,0.4075193610469279,0.4340680191653628,0.41514552279519584
