tripPurposeDestination,EA,AM,MD,PM,EV,PCT_EA,PCT_AM,PCT_MD,PCT_PM,PCT_EV
Cargo,289.446108,676.40909134,1528.00889224,660.8173656,635.0269464,0.0009805621576405516,0.0002571106877064693,0.00030058550884606535,0.0002076225219109835,0.0003919252986413199
Discretionary,10317.8113844,82061.56543744,230500.64670165,208724.71962328,84931.34409541,0.034953848449105804,0.03119252209057636,0.04534342341201519,0.06557931877894999,0.05241784240386411
Eating Out,10792.97305569,66560.764756,199326.83539505,262687.31817112,111099.99859748,0.03656356279920586,0.025300493768912868,0.039211001027660494,0.08253385324279507,0.0685685865398539
Escort,29522.07576127,584288.48755263,619464.11062221,341873.88687567,133638.3127927,0.10001250494098453,0.22209461223536006,0.12185919587829604,0.10741351886869493,0.08247876085908575
External,204.0,455.0,1310.0,490.0,857.0,0.0006910947310394394,0.0001729506069687646,0.0002576994273973752,0.00015395333269429127,0.0005289224068990014
Goods,3059.5,64383.0,172562.5,30619.5,7940.0,0.01036472710595669,0.024472700941692245,0.03394599804599967,0.00962035524578133,0.00490040129612377
Home,8122.67465592,388379.82673361,1393569.35514172,1278255.65160282,696338.10815125,0.0275173414541858,0.14762753135824502,0.27413895027370283,0.401615750203198,0.4297652604187355
Maintenance,6012.92705955,79180.00929591,411500.2502589,181509.87512783,66829.89943948,0.020370108867546442,0.030097210258285843,0.08094914417221002,0.0570286738629675,0.04124601081020768
Non-Work,12197.60723918742,16483.25357400393,22087.55875928862,13845.9318042273,1318.66004944104,0.04132206908966152,0.006265469693283601,0.004345000950285921,0.004350259888813621,0.0008138492966533383
Other,13202.009360881259,54981.6566509405,117161.83425639066,51141.99512804606,26200.52387049022,0.044724701511952916,0.020899144813029392,0.023047738626487065,0.016068327735914077,0.016170413241067008
Resident Business,563.0,912.0,1676.0,669.0,896.0,0.0019072859488980607,0.0003466614363857436,0.0003296978933725198,0.00021019342769894054,0.0005529923880764354
Resident Personal,794.0,1813.0,3463.0,1390.0,1852.0,0.0026898491002221316,0.0006891416493063082,0.0006812313870817637,0.0004367247600919691,0.0011430155164258466
Return to Establishment,2331.0,41246.0,183718.0,48720.5,23891.5,0.007896773617906536,0.015678067549524537,0.03614047587984044,0.015307517031698404,0.014745332187196605
School,8669.1706608,342426.2367932,30887.0299512,8267.2814396,1253.6946112,0.029368716500787134,0.13016005603387662,0.006076007582007495,0.00259750108152669,0.0007737539921496053
Service,4675.0,102949.0,396823.0,112883.0,56418.5,0.015837587586320485,0.03913207041060955,0.07806187776954858,0.03546676337659119,0.034820313668181224
Shop,15467.903206179999,90398.49687614,551318.76836184,309818.26056007,188497.11001312,0.05240091375499534,0.0343614833050382,0.10845384039715446,0.09734194641381852,0.11633645871837255
University,458.3992017,38143.06170118,44183.6946191,12034.9800422,1639.9381241,0.0015529278088605649,0.014498605874431032,0.008691689163085924,0.003781276094706066,0.0010121353789549652
Visit,1318.7664684,2805.9760508,5797.4101856,1821.4680657,1736.55579934,0.00446761057736632,0.0010665829914850045,0.0011404498360433823,0.0005722879165525292,0.0010717657795814844
Visiting,1973.95010146,17744.30802772,117563.25417832,148255.96721573,77000.78338692,0.006687188796342024,0.00674481064535142,0.023126704797500112,0.046580612744239226,0.04752326684027813
Visitor Business,309.0,869.0,2757.0,1141.0,1214.0,0.0010468052543685625,0.00033031665374913505,0.000542349100255392,0.00035849133184527826,0.0007492553115232061
Visitor Personal,395.0,1283.0,3991.0,1511.0,1674.0,0.0013381491115714635,0.00048768270052950547,0.0007850980265213164,0.0004747418075532125,0.001033157653616019
Work,158156.90432750233,616496.3074682235,409179.4364742927,94443.50497365004,33157.85623579534,0.5357911924423803,0.23433716608929975,0.0804926003680961,0.029673249677598563,0.02046433270460669
Work-Based,538.42805304,5032.31419008,80736.43794412,5765.35401972,3475.54672498,0.0018240430906851363,0.0019128391068832155,0.015882239563590413,0.0018114193173435157,0.002145034467988755
work related,5812.2984031,23944.2485019,28758.17954898,3891.49691534,1816.74324072,0.019690435302016456,0.009101477608383599,0.005657226261651185,0.0012226712638492801,0.0011212557848297715
Dining,,721.0,5367.0,4793.0,6584.0,,0.00027406019258127316,0.0010557807838486358,0.0015059149461300776,0.004063506565954522
Recreation,,6426.0,37506.0,5597.0,6860.0,,0.002442594726112706,0.007378072308370958,0.0017585240879386698,0.004233847971210209
Unknown,,149.0,10705.3293456,51970.1656933,82518.36521414,,5.6636572391969066e-05,0.0021059215591308685,0.016328531039098076,0.0509286024999227
