tripMode,distance
Bike,0.0
Drive Alone,194290.477815475
Micro-Mobility,0.0
Non-Pooled TNC,1186.978539832
Pooled TNC,113.32351323
School Bus,2875.70889774
Shared Ride 2,180383.75573660102
Shared Ride 3+,117937.603128991
Taxi,339.640654869
Transit,0.0
Walk,0.0
