cluster_id,original_households,sampled_households
749,154,154
750,588,588
751,239,239
754,33,33
755,314,314
756,827,827
757,178,178
758,104,104
759,527,527
760,87,87
761,212,212
762,288,288
763,351,351
764,1106,1106
765,251,251
766,177,177
768,465,465
770,259,259
773,651,651
774,662,662
775,311,311
776,312,312
777,795,795
778,549,549
779,1,1
780,141,141
781,990,990
782,353,353
783,209,209
784,117,117
785,216,216
787,98,98
788,2029,2029
789,207,207
790,109,109
791,255,255
792,498,498
793,1,1
794,338,338
795,2167,2167
796,1069,1069
797,1261,1261
798,424,424
799,239,239
801,183,183
803,802,802
805,1201,1201
806,151,151
807,426,426
808,3,3
809,758,758
810,145,145
811,383,383
812,938,938
813,977,977
814,801,801
815,2,2
817,943,943
818,575,575
819,259,259
820,643,643
821,307,307
822,4,4
824,111,111
825,1016,1016
826,1627,1627
827,521,521
828,212,212
829,102,102
830,1200,1200
831,290,290
832,711,711
833,725,725
834,334,334
835,569,569
836,661,661
839,140,140
840,434,434
841,239,239
842,1361,1361
843,613,613
845,378,378
847,431,431
848,348,348
849,221,221
850,282,282
851,461,461
852,283,283
853,3,3
854,383,383
855,1094,1094
856,645,645
857,40,40
858,1210,1210
859,653,653
861,1130,1130
862,475,475
863,204,204
864,702,702
865,1631,1631
866,680,680
867,195,195
869,387,387
870,369,369
872,298,298
873,465,465
874,191,191
875,584,584
876,966,966
877,1344,1344
878,489,489
879,338,338
880,1893,1893
881,1169,1169
882,999,999
883,40,40
884,302,302
885,7,7
886,511,511
887,1778,1778
888,11,11
889,784,784
890,1181,1181
891,941,941
892,334,334
893,51,51
895,232,232
896,271,271
897,1518,1518
898,576,576
899,417,417
900,1,1
902,476,476
903,275,275
904,621,621
905,753,753
906,823,823
907,1,1
909,1016,1016
910,60,60
911,289,289
912,1512,1512
914,452,452
915,160,160
917,57,57
918,232,232
919,189,189
920,174,174
921,1501,1501
922,812,812
923,1271,1271
924,749,749
925,626,626
926,272,272
927,432,432
928,216,216
929,845,845
930,1457,1457
931,724,724
932,561,561
933,531,531
934,937,937
935,559,559
937,534,534
938,367,367
939,1,1
940,518,518
942,665,665
943,367,367
944,23,23
945,368,368
946,969,969
947,375,375
948,810,810
949,945,945
950,214,214
951,451,451
952,1004,1004
953,697,697
955,1269,1269
956,42,42
957,494,494
958,655,655
959,311,311
961,441,441
962,172,172
963,433,433
965,1143,1143
966,271,271
967,1159,1159
968,481,481
969,301,301
971,636,636
972,1602,1602
973,633,633
974,701,701
975,1075,1075
976,952,952
977,44,44
978,287,287
979,9,9
980,371,371
982,753,753
983,1203,1203
984,455,455
986,1193,1193
987,1499,1499
988,630,630
989,387,387
990,117,117
991,417,417
992,439,439
993,718,718
994,231,231
995,194,194
996,212,212
997,614,614
998,2,2
1000,111,111
1002,334,334
1003,1176,1176
1004,129,129
1005,207,207
1006,1754,1754
1007,160,160
1008,397,397
1009,472,472
1010,1313,1313
1013,1651,1651
1014,452,452
1015,705,705
1016,789,789
1017,299,299
1018,422,422
1019,224,224
1020,401,401
1021,1271,1271
1022,90,90
1023,41,41
1024,25,25
1025,107,107
1026,292,292
1027,2021,2021
1028,40,40
1029,291,291
1030,1558,1558
1031,316,316
1032,271,271
1033,817,817
1035,343,343
1036,845,845
1037,505,505
1038,834,834
1039,225,225
1040,580,580
1041,759,759
1042,858,858
1043,909,909
1044,408,408
1045,96,96
1046,1845,1845
1047,1045,1045
1048,42,42
1049,2172,2172
1050,656,656
1051,258,258
1052,662,662
1053,361,361
1054,376,376
1055,666,666
1056,500,500
1057,1970,1970
1058,337,337
1060,1248,1248
1061,336,336
1062,241,241
1063,634,634
1064,364,364
1065,525,525
1066,359,359
1068,509,509
1069,973,973
1070,961,961
1071,664,664
1072,1536,1536
1073,861,861
1074,1849,1849
1075,785,785
1076,1710,1710
1077,360,360
1078,1514,1514
1079,736,736
1080,436,436
1081,1441,1441
1082,526,526
1083,1886,1886
1084,178,178
1085,518,518
1086,808,808
1089,401,401
1090,1262,1262
1091,409,409
1092,267,267
1093,109,109
1094,793,793
1095,1339,1339
1096,1480,1480
1097,777,777
1098,719,719
1099,1266,1266
1100,603,603
1101,107,107
1102,6,6
1103,749,749
1104,503,503
1105,803,803
1106,519,519
1107,239,239
1109,1021,1021
1110,850,850
1111,426,426
1112,415,415
1113,746,746
1114,1608,1608
1115,606,606
1116,265,265
1117,1489,1489
1118,272,272
1119,1818,1818
1120,382,382
1121,132,132
1122,437,437
1123,988,988
1124,94,94
1125,737,737
1126,1159,1159
1127,210,210
1128,1089,1089
1129,356,356
1130,20,20
1131,657,657
1132,641,641
1133,179,179
1134,1262,1262
1135,205,205
1136,415,415
1137,758,758
1138,612,612
1139,401,401
1140,748,748
1141,308,308
1142,447,447
1143,2014,2014
1144,168,168
1145,1613,1613
1146,930,930
1147,223,223
1148,786,786
1149,642,642
1150,253,253
1151,411,411
1152,2190,2190
1153,1044,1044
1154,498,498
1155,1734,1734
1156,456,456
1157,1303,1303
1158,2240,2240
1159,506,506
1160,854,854
1161,297,297
1162,211,211
1163,83,83
1164,1582,1582
1165,534,534
1166,2997,2997
1167,768,768
1168,1,1
1169,129,129
1170,380,380
1171,779,779
1172,8,8
1173,391,391
1174,1398,1398
1175,1330,1330
1176,2343,2343
1177,458,458
1178,571,571
1179,1492,1492
1181,425,425
1182,78,78
1183,1044,1044
1184,41,41
1185,375,375
1186,1169,1169
1188,608,608
1189,789,789
1190,281,281
1191,282,282
1192,593,593
1194,236,236
1195,675,675
1196,645,645
1198,1440,1440
1199,376,376
1200,1,1
1201,1397,1397
1202,5,5
1203,1151,1151
1204,235,235
1205,208,208
1206,1855,1855
1208,580,580
1209,401,401
1210,804,804
1211,407,407
1212,801,801
1213,513,513
1214,542,542
1215,717,717
1216,1079,1079
1217,863,863
1218,1581,1581
1219,611,611
1220,221,221
1221,294,294
1222,409,409
1223,283,283
1224,654,654
1225,3,3
1226,342,342
1227,1342,1342
1228,446,446
1229,671,671
1230,834,834
1231,2823,2823
1232,1612,1612
1233,661,661
1234,1439,1439
1236,475,475
1237,443,443
1238,540,540
1239,832,832
1240,277,277
1241,1273,1273
1242,1307,1307
1243,147,147
1244,507,507
1245,309,309
1246,7,7
1247,2348,2348
1248,358,358
1249,183,183
1250,1307,1307
1251,824,824
1252,257,257
1253,451,451
1254,49,49
1256,1560,1560
1257,1003,1003
1259,1797,1797
1260,1560,1560
1261,578,578
1262,894,894
1263,384,384
1264,262,262
1265,739,739
1266,586,586
1267,334,334
1268,485,485
1269,789,789
1270,1289,1289
1271,504,504
1272,302,302
1273,293,293
1274,862,862
1275,1181,1181
1276,2360,2360
1277,1441,1441
1278,3151,3151
1279,609,609
1280,601,601
1281,2480,2480
1282,346,346
1283,604,604
1284,1609,1609
1285,200,200
1286,803,803
1287,1166,1166
1288,1062,1062
1289,3338,3338
1290,59,59
1291,199,199
1292,471,471
1293,985,985
1295,1389,1389
1296,516,516
1297,2,2
1298,178,178
1299,712,712
1302,825,825
1303,599,599
1304,812,812
1305,1093,1093
1306,508,508
1307,1158,1158
1308,1282,1282
1309,944,944
1310,193,193
1311,31,31
1312,1441,1441
1313,68,68
1315,866,866
1316,1482,1482
1317,467,467
1318,1017,1017
1319,706,706
1320,809,809
1321,2055,2055
1322,404,404
1323,759,759
1324,951,951
1325,759,759
1326,252,252
1327,462,462
1328,296,296
1329,1323,1323
1330,887,887
1331,1805,1805
1332,1,1
1333,2158,2158
1334,1035,1035
1335,944,944
1336,22,22
1337,444,444
1338,789,789
1339,272,272
1340,1350,1350
1341,456,456
1342,888,888
1343,1154,1154
1344,572,572
1345,114,114
1346,1051,1051
1347,477,477
1348,1685,1685
1349,13,13
1350,1233,1233
1351,1132,1132
1352,169,169
1353,411,411
1354,644,644
1355,29,29
1356,1447,1447
1357,2482,2482
1358,1043,1043
1359,1309,1309
1360,872,872
1361,652,652
1362,396,396
1363,1219,1219
1364,1824,1824
1365,622,622
1366,46,46
1367,564,564
1368,1779,1779
1369,1515,1515
1370,1062,1062
1371,1290,1290
1372,619,619
1373,977,977
1374,2154,2154
1375,2,2
1376,1982,1982
1377,4,4
1378,1577,1577
1379,528,528
1380,1048,1048
1381,1341,1341
1382,1463,1463
1384,573,573
1385,399,399
1386,395,395
1387,1559,1559
1388,1205,1205
1389,855,855
1390,484,484
1391,376,376
1392,620,620
1393,227,227
1394,531,531
1395,283,283
1396,1703,1703
1397,468,468
1398,1602,1602
1399,1069,1069
1400,2788,2788
1401,3060,3060
1402,539,539
1403,423,423
1404,797,797
1405,865,865
1406,908,908
1407,3145,3145
1408,212,212
1409,129,129
1410,1531,1531
1411,1,1
1412,1324,1324
1413,806,806
1414,327,327
1415,2393,2393
1416,1457,1457
1417,921,921
1418,761,761
1419,340,340
1420,201,201
1421,773,773
1422,566,566
1423,1388,1388
1424,1,1
1425,669,669
1426,1364,1364
1427,622,622
1428,433,433
1429,873,873
1430,261,261
1431,1127,1127
1432,851,851
1433,1372,1372
1434,3398,3398
1435,2388,2388
1436,448,448
1437,1610,1610
1438,55,55
1439,309,309
1440,907,907
1441,1772,1772
1442,1647,1647
1443,1313,1313
1444,362,362
1445,1170,1170
1446,1479,1479
1447,873,873
1448,621,621
1449,1800,1800
1450,1161,1161
1451,487,487
1452,101,101
1453,173,173
1454,239,239
1455,228,228
1456,612,612
1457,1976,1976
1458,1062,1062
1459,1143,1143
1460,734,734
1461,1393,1393
1462,201,201
1463,1,1
1464,1349,1349
1465,2132,2132
1466,310,310
1467,233,233
1468,2147,2147
1469,15,15
1470,246,246
1471,562,562
1472,174,174
1473,251,251
1474,358,358
1475,930,930
1476,106,106
1477,2189,2189
1479,363,363
1480,36,36
1481,206,206
1482,682,682
1483,259,259
1484,1632,1632
1485,1289,1289
1486,441,441
1487,599,599
1491,1565,1565
1492,60,60
1493,1682,1682
1494,1038,1038
1495,360,360
1496,878,878
1497,293,293
1498,1166,1166
1499,1101,1101
1500,827,827
1501,611,611
1502,571,571
1503,2,2
1504,353,353
1505,267,267
1506,904,904
1507,1381,1381
1508,3377,3377
1509,1226,1226
1510,922,922
1511,381,381
1512,218,218
1513,1418,1418
1514,1340,1340
1515,54,54
