OriginSRA,DestinationSRA,flows
1.0,1.0,487639.0
1.0,2.0,330.0
1.0,2.0,195.0
1.0,2.0,2606.0
1.0,2.0,15322.0
1.0,2.0,885.0
1.0,2.0,545.0
1.0,2.0,280.0
1.0,2.0,27986.0
1.0,3.0,10282.0
1.0,4.0,17562.0
1.0,4.0,306.0
1.0,5.0,2517.0
1.0,5.0,232.0
1.0,5.0,1185.0
1.0,5.0,22738.0
1.0,5.0,2183.0
1.0,6.0,39143.0
1.0,7.0,192.0
1.0,10.0,59044.0
1.0,10.0,415.0
1.0,10.0,263.0
1.0,11.0,11078.0
1.0,11.0,409.0
1.0,12.0,286.0
1.0,12.0,779.0
1.0,12.0,514.0
1.0,12.0,7784.0
1.0,13.0,60.0
1.0,13.0,15.0
1.0,13.0,10284.0
1.0,13.0,482.0
1.0,13.0,263.0
1.0,14.0,88.0
1.0,14.0,104.0
1.0,14.0,100.0
1.0,14.0,34.0
1.0,14.0,392.0
1.0,14.0,3143.0
1.0,14.0,82.0
1.0,14.0,61.0
1.0,14.0,474.0
1.0,14.0,99.0
1.0,14.0,67.0
1.0,14.0,130.0
1.0,15.0,18.0
1.0,15.0,96.0
1.0,15.0,90.0
1.0,15.0,68.0
1.0,15.0,3220.0
1.0,15.0,890.0
1.0,16.0,434.0
1.0,16.0,410.0
1.0,16.0,96.0
1.0,16.0,281.0
1.0,17.0,10466.0
1.0,19.0,603.0
1.0,20.0,545.0
1.0,20.0,8225.0
1.0,20.0,2.0
1.0,20.0,85.0
1.0,20.0,28.0
1.0,20.0,896.0
1.0,20.0,543.0
1.0,21.0,280.0
1.0,21.0,2.0
1.0,21.0,23.0
1.0,21.0,478.0
1.0,21.0,634.0
1.0,21.0,12903.0
1.0,21.0,700.0
1.0,21.0,764.0
1.0,22.0,118.0
1.0,22.0,23.0
1.0,22.0,8.0
1.0,22.0,970.0
1.0,22.0,22248.0
1.0,22.0,469.0
1.0,24.0,689.0
1.0,24.0,623.0
1.0,26.0,4.0
1.0,26.0,220.0
1.0,27.0,124.0
1.0,28.0,87.0
1.0,28.0,156.0
1.0,28.0,352.0
1.0,28.0,6.0
1.0,30.0,618.0
1.0,30.0,414.0
1.0,31.0,512.0
1.0,31.0,3887.0
1.0,31.0,112.0
1.0,31.0,32.0
1.0,31.0,358.0
1.0,32.0,479.0
1.0,32.0,46.0
1.0,32.0,2447.0
1.0,33.0,138.0
1.0,33.0,117.0
1.0,33.0,5404.0
1.0,33.0,93.0
1.0,33.0,22.0
1.0,33.0,223.0
1.0,34.0,144.0
1.0,34.0,190.0
1.0,34.0,5948.0
1.0,34.0,18.0
1.0,34.0,121.0
1.0,34.0,69.0
1.0,34.0,112.0
1.0,35.0,140.0
1.0,35.0,91.0
1.0,35.0,2414.0
1.0,35.0,6.0
1.0,35.0,93.0
1.0,36.0,53.0
1.0,36.0,147.0
1.0,36.0,1520.0
1.0,37.0,32.0
1.0,37.0,100.0
1.0,37.0,25.0
1.0,37.0,274.0
1.0,37.0,47.0
1.0,38.0,67.0
1.0,38.0,49.0
1.0,38.0,355.0
1.0,39.0,392.0
1.0,40.0,30.0
1.0,40.0,2104.0
1.0,40.0,160.0
1.0,41.0,60.0
1.0,41.0,1509.0
1.0,41.0,38.0
1.0,42.0,11.0
1.0,42.0,1010.0
1.0,43.0,2.0
1.0,43.0,708.0
1.0,44.0,21.0
1.0,46.0,8.0
1.0,46.0,54.0
1.0,47.0,2.0
1.0,47.0,5.0
1.0,47.0,2.0
1.0,47.0,10.0
1.0,48.0,11.0
1.0,48.0,31.0
1.0,48.0,13.0
1.0,48.0,16.0
1.0,48.0,10.0
1.0,48.0,2.0
1.0,49.0,1.0
1.0,49.0,11.0
1.0,49.0,39.0
1.0,50.0,12.0
1.0,50.0,2019.0
1.0,50.0,9.0
1.0,50.0,39.0
1.0,50.0,26.0
1.0,50.0,60.0
1.0,50.0,6.0
1.0,51.0,2.0
1.0,51.0,4.0
1.0,51.0,52.0
1.0,51.0,596.0
1.0,51.0,15.0
1.0,51.0,2.0
1.0,51.0,16.0
1.0,51.0,13.0
1.0,51.0,28.0
1.0,51.0,7.0
1.0,51.0,4.0
1.0,52.0,2.0
1.0,52.0,409.0
1.0,52.0,17.0
1.0,53.0,6.0
1.0,53.0,36.0
1.0,53.0,141.0
1.0,53.0,23.0
1.0,53.0,9.0
1.0,53.0,4.0
1.0,53.0,2.0
1.0,53.0,32.0
1.0,54.0,4.0
1.0,54.0,3.0
1.0,54.0,0.0
1.0,54.0,6.0
1.0,54.0,0.0
1.0,54.0,30.0
1.0,54.0,14.0
1.0,54.0,1.0
1.0,54.0,1.0
1.0,54.0,1.0
1.0,55.0,28.0
1.0,55.0,817.0
1.0,57.0,2.0
1.0,60.0,57.0
1.0,60.0,4.0
1.0,60.0,12.0
1.0,60.0,9.0
1.0,61.0,2.0
1.0,61.0,186.0
1.0,61.0,9.0
1.0,61.0,3.0
1.0,62.0,3.0
1.0,62.0,501.0
1.0,63.0,2.0
1.0,63.0,1.0
1.0,63.0,46.0
2.0,1.0,342.0
2.0,2.0,148.0
2.0,2.0,58.0
2.0,2.0,12.0
2.0,2.0,2.0
2.0,2.0,8.0
2.0,2.0,40.0
2.0,2.0,10.0
2.0,2.0,535.0
2.0,3.0,15.0
2.0,4.0,20.0
2.0,5.0,4.0
2.0,5.0,2.0
2.0,5.0,22.0
2.0,5.0,3.0
2.0,6.0,52.0
2.0,7.0,0.0
2.0,10.0,170.0
2.0,10.0,0.0
2.0,11.0,143.0
2.0,11.0,2.0
2.0,12.0,11.0
2.0,12.0,1.0
2.0,12.0,1.0
2.0,12.0,29.0
2.0,13.0,33.0
2.0,13.0,2.0
2.0,14.0,2.0
2.0,14.0,11.0
2.0,14.0,1.0
2.0,14.0,1.0
2.0,14.0,2.0
2.0,14.0,1.0
2.0,15.0,1.0
2.0,15.0,13.0
2.0,15.0,2.0
2.0,16.0,3.0
2.0,16.0,3.0
2.0,16.0,1.0
2.0,16.0,1.0
2.0,17.0,36.0
2.0,19.0,1.0
2.0,20.0,2.0
2.0,20.0,17.0
2.0,20.0,3.0
2.0,20.0,1.0
2.0,21.0,1.0
2.0,21.0,1.0
2.0,21.0,2.0
2.0,21.0,1.0
2.0,21.0,35.0
2.0,21.0,1.0
2.0,22.0,2.0
2.0,22.0,28.0
2.0,22.0,1.0
2.0,24.0,6.0
2.0,26.0,0.0
2.0,27.0,2.0
2.0,28.0,1.0
2.0,28.0,1.0
2.0,30.0,4.0
2.0,30.0,0.0
2.0,31.0,1.0
2.0,31.0,12.0
2.0,31.0,0.0
2.0,32.0,9.0
2.0,33.0,1.0
2.0,33.0,15.0
2.0,34.0,14.0
2.0,34.0,1.0
2.0,34.0,1.0
2.0,35.0,6.0
2.0,36.0,1.0
2.0,36.0,2.0
2.0,37.0,1.0
2.0,38.0,2.0
2.0,40.0,9.0
2.0,41.0,8.0
2.0,42.0,2.0
2.0,49.0,1.0
2.0,50.0,10.0
2.0,51.0,1.0
2.0,52.0,2.0
2.0,53.0,0.0
2.0,55.0,4.0
2.0,60.0,1.0
2.0,61.0,1.0
2.0,62.0,1.0
2.0,1.0,207.0
2.0,2.0,52.0
2.0,2.0,380.0
2.0,2.0,7.0
2.0,2.0,4.0
2.0,2.0,6.0
2.0,2.0,112.0
2.0,2.0,133.0
2.0,2.0,1739.0
2.0,3.0,13.0
2.0,4.0,24.0
2.0,5.0,2.0
2.0,5.0,27.0
