MODE,EA,AM,MD,PM,EV,PCT_EA,PCT_AM,PCT_MD,PCT_PM,PCT_EV
Local Bus,3498.542653,17061.156109,31338.597732,26357.998491,15410.157311,0.20905789069730124,0.24353547039141385,0.3053356837581526,0.26338416844959056,0.2918098417204921
Local Bus and Premium Transit,6682.132937,25240.243018,33896.253933,35028.107862,17978.099356,0.39929557982387204,0.36028592768925294,0.33025523222133063,0.3500208509665718,0.3404369093471119
Premium Transit,6554.127585,27754.745391,37401.687066,38688.239976,19420.645254,0.39164652947882667,0.39617860191933324,0.36440908402051675,0.3865949805838377,0.367753248932396
