tripPurposeDestination,EA,AM,MD,PM,EV,PCT_EA,PCT_AM,PCT_MD,PCT_PM,PCT_EV
Cargo,289.446108,676.40909134,1528.00889224,660.8173656,635.0269464,0.0009773990232568605,0.0002617770976282814,0.00030352193737147407,0.00020952847983331585,0.0003948833193864132
Discretionary,10105.4508342,80490.9646379,229030.49264573999,204743.44644024,83190.81070932,0.034123995804142264,0.031150810031940895,0.045494354907235385,0.06491897053810931,0.05173113308273788
Eating Out,11093.89720753,69044.25868243,205534.7682669,264494.87307174,113452.48743963,0.037461772658390124,0.026720820103078295,0.040827191110199335,0.08386463728614142,0.07054896660178395
Escort,29866.7893366,572145.02309007,614868.18990443,341402.71616923,133403.71518733,0.10085390654280713,0.22142585823362299,0.12213671345478741,0.10825016994665941,0.08295538035085268
External,204.0,455.0,1310.0,490.0,857.0,0.0006888653715958743,0.0001760895602170397,0.0002602169005533372,0.000155366611809762,0.0005329144009284141
Goods,3059.5,64383.0,172562.5,30619.5,7940.0,0.010331292178419497,0.024916866275722347,0.03427761748224065,0.009708669327161239,0.004937386631705494
Home,7733.2175701999995,363542.09423415,1342535.67957194,1250394.3228643,680263.37917603,0.026113459780037093,0.14069443405290788,0.26667975070265537,0.3964684272848733,0.42301301188696927
Maintenance,6141.98285726,80132.28420553,410753.02564179,180540.2996543,67626.2316872,0.020740192663244606,0.031011997109755197,0.08159151085909316,0.05724476459675048,0.04205250028778334
Non-Work,12197.60758266753,16483.25277617673,22087.55884763235,13845.93143097783,1318.66068025644,0.04118877196085746,0.006379184027040131,0.004387447407725443,0.004390194803635336,0.0008199921428783147
Other,13202.009010980746,54981.6560401142,117161.83463689839,51141.99437836765,26200.524069908206,0.04458042570177124,0.021278451938699462,0.023272892726989562,0.016215833444409952,0.01629245809652932
Resident Business,563.0,912.0,1676.0,669.0,896.0,0.0019011333539631237,0.0003529531404789895,0.0003329187216239642,0.00021212298632802197,0.0005571660481118541
Resident Personal,794.0,1813.0,3463.0,1390.0,1852.0,0.002681172083564334,0.0007016491707109736,0.0006878863561955777,0.0004407338579909575,0.00115164232265977
Return to Establishment,2331.0,41246.0,183718.0,48720.5,23891.5,0.007871299907794034,0.015962615386180264,0.03649353323347939,0.015448038797301038,0.01485662124828612
School,8199.8622788,326050.2338384,29982.2455264,7751.84731,1209.4880248,0.02768922144961056,0.12618470831926773,0.005955638933212952,0.002457914799635342,0.0007521045346165493
Service,4675.0,102949.0,396823.0,112883.0,56418.5,0.015786498099072118,0.039842294801723126,0.07882446651013506,0.03579234538963543,0.03508311683638241
Shop,15567.9321477,94079.32531611,556975.14953415,313179.44430096,190783.28231562,0.05256965374463097,0.036409641803142025,0.11063690618092216,0.09930128397858005,0.11863612439018101
University,449.8003993,37684.42479456,43651.91862654,12098.0109808,1726.7594814,0.0015188819569008191,0.014584250085947643,0.008670967151301319,0.0038359734198452886,0.0010737631208608401
Visit,1318.7664684,2805.9760508,5797.4101856,1821.4680657,1736.55579934,0.004453198790698749,0.001085940854428391,0.0011515909234604423,0.0005775414732397754,0.0010798548348705244
Visiting,1868.19161823,18530.06315604,117714.51765624,148045.52283354,77540.6495661,0.006308492712276013,0.0071713201581122075,0.02338267704934188,0.046941492400514005,0.04821765322184162
Visitor Business,309.0,869.0,2757.0,1141.0,1214.0,0.0010434284305055155,0.0003363117095134231,0.0005476473242943135,0.00036178225321416003,0.0007549102482229809
Visitor Personal,395.0,1283.0,3991.0,1511.0,1674.0,0.0013338324597076978,0.0004965338588098065,0.0007927676718384495,0.00047909989886642934,0.0010409553175661204
Work,159255.2044061946,617150.799942342,407532.82423403533,94094.1469806209,32903.97201386394,0.5377715468718145,0.23884354494382695,0.08095185373735009,0.02983487511736493,0.020460910774718323
Work-Based,582.2225549,5085.6407188,80603.27762976,5766.04681554,3564.6666669,0.001966043905062195,0.001968193928781015,0.016010942808592585,0.0018282676678916684,0.00221664200851867
work related,5936.2614769,23824.00390084,28626.06051466,4065.70948984,1876.6147704,0.02004551454987741,0.009220128284632867,0.005686247894791675,0.0012891336898759934,0.0011669487002813645
Dining,,721.0,5367.0,4793.0,6584.0,,0.00027903422619007833,0.0010660947368471457,0.0015197391232738555,0.0040941755142505
Recreation,,6426.0,37506.0,5597.0,6860.0,,0.002486926404296038,0.007450148910040813,0.0017746671965290569,0.0042658025558563835
Unknown,,149.0,10705.3293456,51970.1656933,82518.36521414,,5.766449334579982e-05,0.0021264943677211583,0.01647842563053051,0.05131298152121995
