MODE,EA,AM,MD,PM,EV,PCT_EA,PCT_AM,PCT_MD,PCT_PM,PCT_EV
ALLPEN,6425.959225,27842.52582,40310.747905,38669.910679,19953.383111,0.41129423742387533,0.37373147611715357,0.3278387364391984,0.3547362593426514,0.34138715066437214
BUS,3687.55806,21448.94438,45632.991397,34915.387444,20193.004023,0.23602256521382847,0.28791014493857175,0.37112341043113406,0.32029435077309654,0.34548688151864426
PREM,5510.234862,25207.274485,37015.336074,35425.014921,18301.574578,0.35268319736229625,0.33835837894427473,0.30103785312966747,0.324969389884252,0.31312596781698354
