tripMode,num_trips,share
Bike,112773.0000022,0.011324732150675323
Drive Alone,6069881.0,0.6095410826184662
Kiss and Ride to Transit - Local Bus,4237.00000249,0.00042548207593727104
Kiss and Ride to Transit - Local Bus and Premium Transit,3018.00000162,0.0003030693663236541
Kiss and Ride to Transit - Premium Transit,15141.00000526,0.0015204682818546827
Micro-Mobility,13078.0,0.0013133005866975483
Non-Pooled TNC,42818.99851011,0.004299909455966425
Park and Ride to Transit - Local Bus,1656.0,0.00016629651105452974
Park and Ride to Transit - Local Bus and Premium Transit,1409.0,0.0001414926232341983
Park and Ride to Transit - Premium Transit,6973.0,0.0007002328330816642
Pooled TNC,5197.00001583,0.0005218858518012469
School Bus,142216.0,0.014281415830996982
Shared Ride 2,1673137.5001393,0.16801746907467593
Shared Ride 3+,810098.72563804,0.08135059884258863
TNC to Transit - Local Bus,232.0,2.3297578843388224e-05
TNC to Transit - Local Bus and Premium Transit,126.0,1.2652995406322915e-05
TNC to Transit - Premium Transit,143.0,1.436014558019188e-05
Taxi,4206.09105144,0.0004223781805749702
Walk,885616.00039275,0.08893408876774238
Walk to Transit - Local Bus,78375.00004585,0.007870464409132525
Walk to Transit - Local Bus and Premium Transit,42222.00002046,0.004239958510354336
Walk to Transit - Premium Transit,45562.00001838,0.004575363309011482
