tripPurposeDestination,EA,AM,MD,PM,EV,PCT_EA,PCT_AM,PCT_MD,PCT_PM,PCT_EV
Discretionary,9091.5405628,76291.31466949,221772.8486749,186477.95488425,75173.29273936,0.04013541018392683,0.03772753771908144,0.05861294242169811,0.07048605032060391,0.05872250002165207
Eating Out,11022.29940357,73221.01827077,217544.19971271,268664.25242132,113523.9062449,0.04865891590941645,0.036209216482997235,0.05749534141858457,0.10155131756604237,0.08868053192824561
Escort,28587.59083012,489538.39229601,558523.59829931,314700.0401906,127512.83653457,0.12620244899218316,0.24208624848448512,0.14761370340814944,0.11895219937680794,0.09960814902872583
Home,5838.91290837,264253.78118643,1193840.01661266,1163360.75144834,618602.29583359,0.02577639762886139,0.1306786301994077,0.31552318767845894,0.43973403997540883,0.48322844466093395
Maintenance,5837.67039208,79605.06720942,403364.14238331,173578.85584697,67137.20956329,0.02577091243076819,0.03936625274822365,0.10660619365154236,0.06561037188238567,0.052445019319603665
School,6820.491026,285332.3028516,26257.6377716,5918.5688732,910.3113792,0.03010966107376579,0.14110236879442764,0.006939701681393348,0.0022371359857591942,0.0007111004192688931
Shop,6439.7164800499995,79079.78885033,518456.87275079,292783.06789113,164208.29083655,0.028428698151834433,0.03910649239160326,0.13702436079189448,0.11066789138268267,0.1282732338948873
University,425.4051897,37233.0374784,43476.86899902,12239.5558913,1807.30729494,0.0018779888474393313,0.01841246060508737,0.01149061859709829,0.004626380383630437,0.0014117993079565835
Visiting,1892.78425158,19102.00563971,119409.57700208,144851.58580255,76754.50077432,0.00835586354172783,0.009446313009604912,0.03155907814342998,0.05475186690156132,0.059957679238679486
Work,144032.7564913,589245.36573614,364144.68735836,72919.64552768,29178.77127548,0.6358453467560186,0.291393284516233,0.09624077843988328,0.027562602813909147,0.02279333968776666
Work-Based,543.0868263,5146.80502666,86764.08782764,6051.61359118,3528.94302314,0.002397504844033221,0.0025451951066420278,0.022931114040779296,0.0022874250222957105,0.002756675265925193
work related,5989.4261476,24116.3423151,30129.39847502,4054.9610778,1806.95899114,0.02644085164002483,0.011925999942206753,0.007962979727087831,0.0015327183889125833,0.0014115272263547577
