mgra,sampled_households,sample_rate
1,300,1.0
2,10137,1.0
3,1231,1.0
4,144,1.0
6,13,1.0
8,126,1.0
9,13,1.0
11,4,1.0
12,128,1.0
13,16,1.0
14,86,1.0
15,206,1.0
16,260,1.0
17,1,1.0
18,28,1.0
19,74,1.0
20,481,1.0
21,59,1.0
22,66,1.0
23,5692,1.0
24,92,1.0
25,5,1.0
26,16,1.0
27,28,1.0
28,264,1.0
29,187,1.0
31,54,1.0
32,437,1.0
33,6,1.0
34,32,1.0
35,19,1.0
36,19,1.0
37,5319,1.0
38,14,1.0
40,20,1.0
41,212,1.0
42,95,1.0
43,239,1.0
44,92,1.0
45,3,1.0
46,200,1.0
47,333,1.0
49,35,1.0
50,15,1.0
52,104,1.0
53,151,1.0
54,16,1.0
55,1,1.0
56,48,1.0
57,95,1.0
58,54,1.0
59,121,1.0
60,290,1.0
61,39,1.0
62,424,1.0
63,32,1.0
64,134,1.0
65,58,1.0
66,8,1.0
67,19,1.0
68,3,1.0
69,184,1.0
70,22,1.0
71,35,1.0
72,276,1.0
73,47,1.0
74,295,1.0
75,121,1.0
76,145,1.0
77,185,1.0
80,289,1.0
84,1,1.0
85,555,1.0
86,198,1.0
87,33,1.0
88,31,1.0
90,62,1.0
91,359,1.0
92,117,1.0
93,3,1.0
94,105,1.0
95,332,1.0
96,195,1.0
97,37,1.0
98,477,1.0
99,214,1.0
100,122,1.0
101,360,1.0
102,167,1.0
103,2,1.0
105,205,1.0
106,519,1.0
107,84,1.0
109,33,1.0
112,196,1.0
114,192,1.0
116,430,1.0
118,890,1.0
119,11,1.0
120,10,1.0
123,224,1.0
124,376,1.0
125,626,1.0
126,222,1.0
127,1,1.0
128,33,1.0
129,201,1.0
130,251,1.0
132,140,1.0
133,292,1.0
135,311,1.0
136,16,1.0
137,327,1.0
139,23,1.0
141,90,1.0
142,122,1.0
147,5,1.0
148,59,1.0
149,1,1.0
150,30,1.0
151,13,1.0
154,520,1.0
155,849,1.0
156,28,1.0
157,132,1.0
158,864,1.0
159,89,1.0
162,57,1.0
164,487,1.0
166,75,1.0
167,3,1.0
168,142,1.0
169,214,1.0
171,544,1.0
172,529,1.0
173,90,1.0
174,1,1.0
175,516,1.0
177,328,1.0
178,53,1.0
179,391,1.0
180,73,1.0
181,1610,1.0
182,1,1.0
183,316,1.0
184,71,1.0
185,118,1.0
186,322,1.0
187,526,1.0
188,1180,1.0
189,13,1.0
190,830,1.0
191,71,1.0
193,358,1.0
194,900,1.0
195,457,1.0
196,415,1.0
197,26,1.0
198,132,1.0
199,58,1.0
200,329,1.0
201,678,1.0
202,424,1.0
203,401,1.0
204,464,1.0
205,2,1.0
206,1030,1.0
207,328,1.0
208,201,1.0
210,475,1.0
211,68,1.0
212,546,1.0
213,655,1.0
214,591,1.0
215,531,1.0
216,235,1.0
217,43,1.0
218,27,1.0
219,10,1.0
221,111,1.0
222,301,1.0
223,970,1.0
225,283,1.0
227,203,1.0
228,358,1.0
230,195,1.0
231,2,1.0
232,800,1.0
233,20,1.0
234,344,1.0
235,415,1.0
236,73,1.0
237,245,1.0
238,211,1.0
240,1060,1.0
241,162,1.0
243,36,1.0
244,452,1.0
245,1321,1.0
246,1232,1.0
247,629,1.0
250,796,1.0
251,257,1.0
252,17,1.0
255,402,1.0
258,435,1.0
259,7,1.0
262,535,1.0
270,37,1.0
272,1,1.0
274,1,1.0
276,43,1.0
278,510,1.0
279,3369,1.0
282,4656,1.0
285,236,1.0
287,3008,1.0
291,810,1.0
292,94,1.0
293,113,1.0
294,307,1.0
296,1774,1.0
298,969,1.0
299,87,1.0
300,140,1.0
301,292,1.0
302,1,1.0
305,240,1.0
306,1495,1.0
307,2208,1.0
308,642,1.0
309,440,1.0
310,616,1.0
311,374,1.0
312,458,1.0
313,778,1.0
314,12,1.0
315,104,1.0
316,14,1.0
317,45,1.0
318,129,1.0
320,226,1.0
321,353,1.0
322,313,1.0
323,1,1.0
325,185,1.0
326,33,1.0
327,176,1.0
329,444,1.0
330,119,1.0
331,694,1.0
332,351,1.0
333,35,1.0
334,220,1.0
335,270,1.0
336,74,1.0
340,1,1.0
341,136,1.0
344,367,1.0
345,733,1.0
346,94,1.0
347,320,1.0
348,1,1.0
349,875,1.0
353,1300,1.0
355,387,1.0
356,58,1.0
357,57,1.0
358,15,1.0
359,535,1.0
360,200,1.0
364,1,1.0
366,479,1.0
367,542,1.0
368,137,1.0
370,1253,1.0
372,774,1.0
374,186,1.0
377,34,1.0
378,106,1.0
380,1321,1.0
381,222,1.0
382,306,1.0
383,13,1.0
384,1191,1.0
385,62,1.0
386,1,1.0
387,599,1.0
388,42,1.0
389,176,1.0
391,113,1.0
392,304,1.0
394,329,1.0
395,872,1.0
396,28,1.0
398,716,1.0
400,1407,1.0
401,153,1.0
402,81,1.0
403,407,1.0
405,156,1.0
406,100,1.0
407,51,1.0
410,687,1.0
412,70,1.0
413,12,1.0
415,220,1.0
416,1325,1.0
417,680,1.0
418,1006,1.0
419,283,1.0
420,196,1.0
421,824,1.0
423,107,1.0
426,5,1.0
428,429,1.0
429,183,1.0
430,1677,1.0
431,1447,1.0
432,584,1.0
433,24,1.0
434,414,1.0
436,174,1.0
438,1214,1.0
439,921,1.0
440,3,1.0
442,409,1.0
443,918,1.0
445,789,1.0
447,900,1.0
448,951,1.0
449,2,1.0
450,64,1.0
452,483,1.0
453,130,1.0
455,1368,1.0
457,546,1.0
460,3,1.0
461,74,1.0
462,195,1.0
463,249,1.0
464,72,1.0
465,34,1.0
466,1193,1.0
467,287,1.0
468,370,1.0
469,144,1.0
470,142,1.0
471,1,1.0
472,1,1.0
473,693,1.0
474,297,1.0
475,260,1.0
476,191,1.0
478,83,1.0
479,528,1.0
480,354,1.0
481,3783,1.0
482,238,1.0
483,236,1.0
484,262,1.0
485,493,1.0
488,468,1.0
492,150,1.0
493,33,1.0
495,383,1.0
496,102,1.0
497,93,1.0
498,339,1.0
499,8,1.0
500,129,1.0
503,156,1.0
504,300,1.0
508,417,1.0
509,1,1.0
510,147,1.0
511,222,1.0
518,83,1.0
519,693,1.0
521,58,1.0
522,107,1.0
523,606,1.0
527,89,1.0
528,154,1.0
530,112,1.0
531,134,1.0
533,1,1.0
534,529,1.0
544,134,1.0
546,1,1.0
551,190,1.0
555,159,1.0
556,55,1.0
558,18,1.0
560,192,1.0
561,25,1.0
562,190,1.0
567,339,1.0
568,141,1.0
570,180,1.0
572,5377,1.0
573,349,1.0
577,99,1.0
579,28,1.0
581,3,1.0
582,25,1.0
583,304,1.0
