class,vmt_total,vmt_auto,vmt_truck
Collector,4086233.9280273025,3883894.908837634,184263.07707653643
Freeway,40622786.09315161,38323949.947167955,2289675.234469248
Freeway Connector Ramp,1548959.0516602362,1461471.662042872,87284.04811546006
Local Collector,2600662.10742722,2492044.6296521067,99266.362642082
Local Ramp,2187596.7589325155,2084046.8528701805,101562.0661547561
Local Road,1777612.3138616025,1710356.1791564086,63838.96019404724
Major Arterial,10704670.903060244,10243372.541167784,409381.81939799985
Prime Arterial,5686606.032061278,5415797.486576286,257610.01256476814
Rural Coolector,769817.5154324018,749066.6739214426,20699.58034455345
Zone Connector,5840565.890275694,5607139.598041793,233426.29223390046
